=== Mind ===
  mind-fear | Fear
    mind-sadness-loss-loved-one | Sadness from loss of loved one
  mind-irritability | Irritability
    mind-irritability-morning | Irritability in morning
    mind-irritability-headache | Irritability during headache
    mind-irritability-children | Irritability in children
    mind-irritability-chill | Irritability during chill
    mind-irritability-menses | Irritability during menses
    mind-irritability-eating | Irritability after eating
    mind-irritability-noise | Irritability from noise
    mind-irritability-coition | Irritability after coition
    mind-irritability-pain | Irritability from pain
  mind-delirium | Delirium
    mind-delirium-night | Delirium at night
    mind-delirium-fever | Delirium during fever
    mind-delirium-violent | Delirium violent, raging
    mind-delirium-muttering | Delirium muttering
    mind-delirium-loquacious | Delirium loquacious
    mind-delirium-sleep | Delirium on closing eyes to sleep
  mind-confusion | Confusion of mind
    mind-confusion-morning | Confusion in morning
    mind-confusion-waking | Confusion on waking
    mind-confusion-eating | Confusion after eating
    mind-confusion-identity | Confusion about identity
    mind-confusion-mental-exertion | Confusion from mental exertion
    mind-confusion-elderly | Mental confusion in elderly
  mind-weeping | Weeping, crying
    mind-weeping-causeless | Weeping without cause
    mind-weeping-consolation-agg | Weeping worse from consolation
    mind-weeping-alternating-laughter | Weeping alternating with laughter
    mind-weeping-menses | Weeping during menses
    mind-weeping-sleep | Weeping during sleep
    mind-weeping-music | Weeping from music
    mind-weeping-anger | Weeping from anger
  mind-concentration | Concentration difficult
    mind-concentration-reading | Cannot concentrate while reading
    mind-concentration-studying | Cannot concentrate while studying
    mind-concentration-children | Concentration poor in children
  mind-memory | Memory weakness
    mind-memory-names | Forgets names
    mind-memory-words | Forgets words while speaking
    mind-memory-sudden | Sudden loss of memory
    mind-memory-mental-exertion | Memory loss from mental exertion
  mind-delusions | Delusions, imaginations
    mind-delusions-pursued | Delusions of being pursued
    mind-delusions-sick | Delusion that he is sick
    mind-delusions-dead | Delusion that he is dead
    mind-delusions-watched | Delusion that he is being watched
    mind-delusions-animals | Delusion of animals
    mind-delusions-grandeur | Delusions of grandeur
    mind-delusions-body-distorted | Delusion body is distorted
    mind-delusions-dead-persons | Delusion of dead persons
  mind-indifference | Indifference, apathy
    mind-indifference-everything | Indifference to everything
    mind-indifference-loved-ones | Indifference to loved ones
    mind-indifference-fever | Indifference during fever
  mind-jealousy | Jealousy
    mind-jealousy-rage | Jealousy with rage
    mind-jealousy-sibling | Sibling jealousy
  mind-suspicious | Suspicious, mistrustful
    mind-suspicious-friends | Suspicious of friends
  mind-timidity | Timidity, shyness
    mind-timidity-public | Timidity in public
  mind-insanity | Insanity, mania
    mind-mania-rage | Mania with rage
    mind-mania-erotic | Erotic mania
    mind-mania-religious | Religious mania
  mind-dullness | Dullness, sluggishness
    mind-dullness-morning | Dullness in morning
    mind-dullness-eating | Dullness after eating
  mind-excitement | Excitement, excitable
    mind-excitement-nervous | Nervous excitement
    mind-excitement-evening | Excitement in evening
  mind-grief | Grief, ailments from
    mind-grief-silent | Silent grief
    mind-grief-ailments | Ailments from grief
  mind-homesickness | Homesickness
  mind-hurry | Hurry, haste
  mind-impatience | Impatience
  mind-loathing-life | Loathing of life
    mind-suicidal | Suicidal disposition
  mind-sensitive | Sensitive, oversensitive
    mind-sensitive-noise | Sensitive to noise
    mind-sensitive-light | Sensitive to light
    mind-sensitive-music | Sensitive to music
    mind-sensitive-odors | Sensitive to odors
    mind-sensitive-pain | Oversensitivity to pain
    mind-sensitive-criticism | Sensitivity to criticism
  mind-starting | Starting, startled
    mind-starting-sleep | Starting from sleep
    mind-starting-noise | Starting from noise
  mind-stupefaction | Stupefaction
    mind-stupefaction-headache | Stupefaction with headache
  mind-unconsciousness | Unconsciousness, fainting
    mind-unconsciousness-vertigo | Unconsciousness during vertigo
    mind-unconsciousness-pain | Unconsciousness from pain
=== Vertigo ===
  vertigo-morning | Vertigo in morning
    vertigo-morning-rising | Vertigo in morning on rising
    vertigo-morning-bed | Vertigo in morning in bed
  vertigo-evening | Vertigo in evening
  vertigo-looking-down | Vertigo looking downward
  vertigo-looking-up | Vertigo looking upward
  vertigo-motion | Vertigo from motion
    vertigo-motion-head | Vertigo from motion of head
    vertigo-motion-quick | Vertigo from quick motion
  vertigo-rising | Vertigo on rising from bed/sitting
    vertigo-rising-stooping | Vertigo on rising from stooping
    vertigo-rising-seat | Vertigo on rising from seat
  vertigo-nausea | Vertigo with nausea
    vertigo-nausea-vomiting | Vertigo with nausea and vomiting
  vertigo-walking | Vertigo while walking
    vertigo-walking-open-air | Vertigo walking in open air
  vertigo-turning-head | Vertigo on turning the head
  vertigo-stoop | Vertigo on stooping
  vertigo-close-eyes | Vertigo on closing eyes
  vertigo-meniere | Vertigo (Meniere's type)
  vertigo-headache | Vertigo with headache
  vertigo-objects-turning | Vertigo, objects seem to turn in a circle
  vertigo-lying | Vertigo while lying
  vertigo-high-places | Vertigo in high places
  vertigo-elderly | Vertigo in elderly
=== Head ===
  head-pain | Headache (cephalalgia)
    head-pain-throbbing | Throbbing headache
    head-pain-congestive | Congestive headache
    head-pain-pressing | Pressing headache
    head-pain-stitching | Stitching headache
    head-pain-burning | Burning headache
    head-pain-bursting | Bursting headache
    head-pain-splitting | Splitting headache
    head-pain-drawing | Drawing headache
    head-pain-dull | Dull headache
    head-pain-boring | Boring headache
    head-pain-nail-like | Nail-like headache (clavus)
    head-pain-tearing | Tearing headache
    head-pain-shooting | Shooting headache
    head-pain-sore-bruised | Sore bruised headache
    head-pain-tension | Tension headache
    head-pain-cluster | Cluster headache
    head-pain-sinus | Sinus headache
    head-pain-hormonal | Hormonal headache
    head-pain-rebound | Rebound/medication headache
    head-pain-ice-cream | Headache from ice cream (brain freeze)
    head-pain-menstrual | Menstrual headache
    head-pain-hangover | Hangover headache
  head-pain-location | Headache by location
    head-pain-forehead | Frontal headache
    head-pain-occiput | Occipital headache
    head-pain-temples | Temporal headache
    head-pain-vertex | Vertex headache (top of head)
    head-pain-sides | One-sided headache (hemicrania)
    head-pain-right | Right-sided headache
    head-pain-left | Left-sided headache
    head-pain-eyes-above | Headache above eyes
    head-pain-band | Band-like headache
  head-pain-cause | Headache by cause
    head-pain-sun | Headache from sun exposure
    head-pain-mental-exertion | Headache from mental exertion
    head-pain-stooping | Headache from stooping
    head-pain-coughing | Headache from coughing
    head-pain-noise | Headache from noise
    head-pain-motion | Headache from motion
    head-pain-cold | Headache from cold
    head-pain-reading | Headache from reading
    head-pain-fasting | Headache from fasting
    head-pain-menses | Headache during/before menses
    head-pain-alcohol | Headache from alcohol
    head-pain-injury | Headache from injury
    head-pain-eyestrain | Headache from eyestrain
    head-pain-emotional | Headache from emotions
  head-congestion | Congestion of head
    head-congestion-morning | Congestion of head in morning
    head-congestion-heat | Congestion with heat of head
    head-congestion-mental-exertion | Congestion from mental exertion
    head-congestion-sun | Congestion from sun exposure
    head-congestion-alcohol | Congestion from alcohol
    head-congestion-suppressed-menses | Congestion from suppressed menses
  head-heaviness | Heaviness of head
    head-heaviness-forehead | Heaviness in forehead
    head-heaviness-morning | Heaviness in morning
  head-heat | Heat of head
    head-heat-burning | Burning heat of head
    head-heat-cold-feet | Heat of head with cold feet
  head-pulsation | Pulsation in head
    head-pulsation-temples | Pulsation in temples
    head-pulsation-vertex | Pulsation at vertex
  head-dandruff | Dandruff, scaling of scalp
    head-dandruff-dry | Dry dandruff
    head-dandruff-oily | Oily/greasy dandruff
    head-dandruff-itching | Dandruff with intense itching
  head-hair-falling | Hair falling out (alopecia)
    head-hair-falling-spots | Hair falling in spots (alopecia areata)
    head-hair-falling-childbirth | Hair loss after childbirth
    head-hair-falling-grief | Hair falling from grief
    head-hair-falling-patches | Hair falling in patches (alopecia areata)
    head-hair-gray-early | Premature graying of hair
  head-eruptions | Eruptions on scalp
    head-eruptions-crusts | Crusts/scabs on scalp
    head-eruptions-eczema | Eczema of scalp
    head-eruptions-pimples | Pimples on scalp
  head-perspiration | Perspiration of scalp
    head-perspiration-night | Perspiration of scalp at night
    head-perspiration-sleep | Perspiration of scalp during sleep
  head-coldness | Coldness of head
  head-numbness | Numbness of head
  head-shaking | Shaking sensation in head
  head-constriction | Constriction of head
    head-constriction-band | Constriction as if band around head
  head-fullness | Fullness sensation in head
  head-itching-scalp | Itching of scalp
  head-motions | Motions of head involuntary
  head-migraine | Migraine
    head-migraine-aura | Migraine with aura
    head-migraine-nausea | Migraine with nausea/vomiting
    head-migraine-periodic | Periodic migraine
    head-migraine-menses | Migraine during menses
    head-migraine-right | Right-sided migraine
    head-migraine-left | Left-sided migraine
    head-migraine-weekend | Weekend migraine
    head-migraine-stress | Migraine from stress
    head-migraine-food | Migraine from food triggers
=== Eye ===
  eye-inflammation | Inflammation of eyes (ophthalmia)
    eye-inflammation-conjunctivitis | Conjunctivitis
    eye-inflammation-scrofulous | Scrofulous ophthalmia
    eye-inflammation-catarrhal | Catarrhal ophthalmia
    eye-inflammation-newborn | Ophthalmia neonatorum
    eye-inflammation-allergic | Allergic eye inflammation
    eye-inflammation-chronic | Chronic eye inflammation
  eye-pain | Pain in eyes
    eye-pain-burning | Burning pain in eyes
    eye-pain-pressing | Pressing pain in eyes
    eye-pain-stitching | Stitching pain in eyes
    eye-pain-reading | Pain from reading
    eye-pain-light | Pain from light
    eye-pain-aching | Aching pain in eyes
    eye-pain-screen | Eye strain from screens
  eye-discharge | Discharge from eyes
    eye-discharge-purulent | Purulent discharge
    eye-discharge-yellow | Yellow discharge
    eye-discharge-acrid | Acrid, excoriating discharge
  eye-lachrymation | Lachrymation (watering eyes)
    eye-lachrymation-cold-air | Lachrymation in cold air
    eye-lachrymation-wind | Lachrymation in wind
    eye-lachrymation-cough | Lachrymation during cough
    eye-lachrymation-reading | Lachrymation while reading
  eye-photophobia | Photophobia (light sensitivity)
    eye-photophobia-artificial | Photophobia from artificial light
    eye-photophobia-sunlight | Photophobia from sunlight
  eye-redness | Redness of eyes
  eye-swelling | Swelling of eyelids
    eye-swelling-upper | Swelling of upper lids
    eye-swelling-lower | Swelling of lower lids
  eye-itching | Itching of eyes
  eye-stye | Stye (hordeolum)
    eye-stye-recurrent | Recurrent styes
    eye-stye-upper | Stye on upper lid
    eye-stye-lower | Stye on lower lid
  eye-cataract | Cataract
    eye-cataract-senile | Senile cataract
    eye-cataract-traumatic | Traumatic cataract
    eye-cataract-diabetic | Diabetic cataract
  eye-glaucoma | Glaucoma
  eye-dryness | Dryness of eyes
    eye-dryness-contact-lens | Dry eyes from contact lenses
    eye-dryness-screen | Dry eyes from screen use
    eye-dryness-menopause | Dry eyes at menopause
  eye-twitching | Twitching of eyelids
  eye-dilated-pupils | Pupils dilated
  eye-contracted-pupils | Pupils contracted
  eye-heaviness-lids | Heaviness of eyelids
  eye-ptosis | Ptosis (drooping eyelid)
=== Vision ===
  vision-dim | Dim vision
    vision-dim-reading | Dim vision while reading
    vision-dim-headache | Dim vision with headache
  vision-blurred | Blurred vision
  vision-double | Double vision (diplopia)
  vision-flickering | Flickering, zigzag vision
  vision-colors-before-eyes | Colors before eyes
    vision-colors-black-spots | Black spots before eyes
    vision-colors-sparks | Sparks before eyes
    vision-colors-halo | Halo around lights
  vision-loss | Loss of vision
    vision-loss-sudden | Sudden loss of vision
    vision-loss-exertion | Loss of vision from exertion
  vision-weak | Weak vision
  vision-myopia | Short-sightedness (myopia)
  vision-hypermetropia | Far-sightedness
=== Ear ===
  ear-pain | Earache (otalgia)
    ear-pain-right | Earache right side
    ear-pain-left | Earache left side
    ear-pain-stitching | Stitching earache
    ear-pain-tearing | Tearing earache
    ear-pain-night | Earache at night
    ear-pain-wind | Earache from wind
    ear-pain-cold | Earache from cold
    ear-pain-behind | Pain behind ear
    ear-pain-cold-wind | Ear pain from cold wind
    ear-pain-swimming | Ear pain after swimming
    ear-pain-teething | Ear pain during teething
    ear-pain-referred-throat | Ear pain referred from throat
  ear-discharge | Discharge from ear (otorrhoea)
    ear-discharge-offensive | Offensive ear discharge
    ear-discharge-purulent | Purulent ear discharge
    ear-discharge-bloody | Bloody ear discharge
    ear-discharge-yellow | Yellow ear discharge
    ear-discharge-chronic | Chronic ear discharge
    ear-discharge-after-measles | Ear discharge after measles
  ear-inflammation | Inflammation of ear (otitis)
    ear-inflammation-media | Otitis media
    ear-inflammation-externa | Otitis externa
    ear-inflammation-chronic | Chronic otitis
  ear-noises | Noises in ear (tinnitus)
    ear-noises-ringing | Ringing in ears
    ear-noises-buzzing | Buzzing in ears
    ear-noises-roaring | Roaring in ears
    ear-noises-humming | Humming in ears
    ear-noises-singing | Singing in ears
    ear-noises-pulsating | Pulsating noise in ear
    ear-noises-waterfall | Waterfall-like noise in ear
  ear-hearing-impaired | Hearing impaired
    ear-hearing-impaired-old-age | Deafness in old age
    ear-hearing-impaired-catarrh | Deafness from catarrh
    ear-hearing-impaired-wax | Deafness from wax
  ear-itching | Itching in ears
  ear-wax-excessive | Excessive ear wax
  ear-eustachian-tube | Eustachian tube catarrh
  ear-stopped-sensation | Sensation of ear stopped
  ear-swelling | Swelling of ear
=== Nose ===
  nose-coryza | Coryza (common cold)
    nose-coryza-fluent | Fluent coryza
    nose-coryza-dry | Dry coryza (stuffed nose)
    nose-coryza-alternating | Alternating fluent and dry
    nose-coryza-annual | Annual coryza (hay fever)
    nose-coryza-open-air | Coryza in open air
    nose-coryza-warm-room | Coryza in warm room
  nose-discharge | Nasal discharge
    nose-discharge-watery | Watery discharge
    nose-discharge-thick | Thick discharge
    nose-discharge-yellow | Yellow discharge
    nose-discharge-green | Green discharge
    nose-discharge-bloody | Bloody discharge
    nose-discharge-offensive | Offensive discharge
    nose-discharge-crusts | Crusts in nose
    nose-discharge-post-nasal | Post-nasal drip
    nose-discharge-thick-yellow | Thick yellow discharge
    nose-discharge-watery-burning | Watery burning discharge
    nose-discharge-bloody-crusts | Bloody crusts in nose
  nose-obstruction | Obstruction of nose
    nose-obstruction-night | Obstruction at night
    nose-obstruction-alternating | Obstruction alternating sides
    nose-obstruction-chronic | Chronic nasal obstruction
    nose-obstruction-children | Nasal obstruction in infants
    nose-obstruction-one-side | One-sided nasal obstruction
    nose-obstruction-newborn | Nasal obstruction in newborn
    nose-obstruction-polyps | Obstruction from nasal polyps
  nose-sneezing | Sneezing
    nose-sneezing-frequent | Frequent sneezing
    nose-sneezing-violent | Violent sneezing
    nose-sneezing-morning | Sneezing in morning
    nose-sneezing-hay-fever | Sneezing from hay fever
    nose-sneezing-dust | Sneezing from dust
    nose-sneezing-sunlight | Sneezing from sunlight
  nose-epistaxis | Epistaxis (nosebleed)
    nose-epistaxis-morning | Nosebleed in morning
    nose-epistaxis-blowing | Nosebleed from blowing nose
    nose-epistaxis-headache | Nosebleed with headache
    nose-epistaxis-children | Nosebleed in children
    nose-epistaxis-profuse | Profuse nosebleed
    nose-epistaxis-pregnancy | Nosebleed in pregnancy
  nose-smell-lost | Loss of smell (anosmia)
  nose-smell-sensitive | Sensitive smell
  nose-polyps | Nasal polyps
  nose-sinusitis | Sinusitis
    nose-sinusitis-frontal | Frontal sinusitis
    nose-sinusitis-maxillary | Maxillary sinusitis
    nose-sinusitis-chronic | Chronic sinusitis
  nose-dryness | Dryness of nose
  nose-swelling | Swelling of nose
  nose-pain | Pain in nose
    nose-pain-root | Pain at root of nose
    nose-pain-bones | Pain in nasal bones
=== Face ===
  face-pain | Face pain (prosopalgia)
    face-pain-neuralgia | Facial neuralgia (trigeminal)
    face-pain-right | Face pain right side
    face-pain-left | Face pain left side
    face-pain-jaw | Pain in jaw
    face-pain-cold-agg | Face pain worse from cold
    face-pain-trigeminal | Trigeminal pain
    face-pain-dental | Face pain from dental issues
    face-pain-tmj | Face pain from TMJ
  face-swelling | Swelling of face
    face-swelling-oedematous | Oedematous swelling of face
    face-swelling-one-sided | One-sided swelling
    face-swelling-allergic | Allergic facial swelling
    face-swelling-dental | Facial swelling from dental abscess
  face-eruptions | Eruptions on face
    face-eruptions-acne | Acne on face
    face-eruptions-eczema | Eczema on face
    face-eruptions-herpes | Herpes on lips/face
    face-eruptions-pimples | Pimples on face
    face-eruptions-chin | Eruptions on chin
    face-eruptions-forehead | Eruptions on forehead
  face-discoloration | Discoloration of face
    face-red | Red face
    face-pale | Pale face
    face-yellow | Yellow face (jaundice)
    face-cyanotic | Bluish face
    face-earthy | Earthy complexion
  face-lips-cracked | Cracked lips
    face-lips-dry | Dry lips
    face-lips-bleeding | Bleeding lips
  face-twitching | Twitching of facial muscles
  face-lockjaw | Lockjaw (trismus)
  face-paralysis | Facial paralysis (Bell's palsy)
    face-paralysis-right | Facial paralysis right side
    face-paralysis-left | Facial paralysis left side
    face-paralysis-cold | Facial paralysis from cold
  face-perspiration | Perspiration on face
  face-heat | Heat of face
  face-mumps | Mumps (parotitis)
=== Mouth ===
  mouth-aphthae | Aphthae (mouth ulcers)
    mouth-aphthae-tongue | Ulcers on tongue
    mouth-aphthae-gums | Ulcers on gums
    mouth-aphthae-children | Mouth ulcers in children
    mouth-aphthae-burning | Burning mouth ulcers
  mouth-taste | Taste complaints
    mouth-taste-bitter | Bitter taste
    mouth-taste-metallic | Metallic taste
    mouth-taste-sour | Sour taste
    mouth-taste-salty | Salty taste
    mouth-taste-sweetish | Sweetish taste
    mouth-taste-lost | Loss of taste
    mouth-taste-putrid | Putrid taste
    mouth-taste-loss | Loss of taste
    mouth-taste-sweet | Sweet taste in mouth
  mouth-dryness | Dryness of mouth
    mouth-dryness-night | Dryness at night
    mouth-dryness-thirst | Dryness with thirst
    mouth-dryness-without-thirst | Dryness without thirst
    mouth-dryness-medication | Dry mouth from medication
    mouth-dryness-diabetes | Dry mouth in diabetes
  mouth-salivation | Salivation excessive
    mouth-salivation-sleep | Salivation during sleep
    mouth-salivation-nausea | Salivation with nausea
  mouth-bleeding-gums | Bleeding gums
    mouth-bleeding-gums-easily | Gums bleed easily
    mouth-bleeding-gums-touch | Gums bleed on touch
  mouth-tongue-coated | Coated tongue
    mouth-tongue-white | White-coated tongue
    mouth-tongue-yellow | Yellow-coated tongue
    mouth-tongue-thick | Thick-coated tongue
  mouth-breath-offensive | Offensive breath (halitosis)
  mouth-swelling-gums | Swelling of gums
  mouth-tongue-swelling | Swelling of tongue
  mouth-speech-difficult | Speech difficult
    mouth-speech-stammering | Stammering
  mouth-numbness | Numbness of tongue/mouth
  mouth-thrush | Thrush (candida)
=== Teeth ===
  teeth-pain | Toothache
    teeth-pain-night | Toothache at night
    teeth-pain-cold | Toothache from cold
    teeth-pain-warm | Toothache from warmth
    teeth-pain-touch | Toothache from touch
    teeth-pain-pulling | Pulling toothache
    teeth-pain-tearing | Tearing toothache
    teeth-pain-throbbing | Throbbing toothache
    teeth-pain-nervous | Nervous toothache
    teeth-pain-pregnancy | Toothache during pregnancy
    teeth-pain-extraction-after | Pain after tooth extraction
    teeth-pain-cold-drinks | Toothache from cold drinks
    teeth-pain-hot-drinks | Toothache from hot drinks
  teeth-caries | Decay of teeth
    teeth-caries-rapid | Rapid decay of teeth
    teeth-caries-children | Premature decay in children
  teeth-dentition | Dentition difficult
    teeth-dentition-slow | Slow dentition
    teeth-dentition-diarrhea | Diarrhea during dentition
    teeth-dentition-fever | Fever during dentition
  teeth-grinding | Grinding of teeth (bruxism)
    teeth-grinding-sleep | Grinding during sleep
  teeth-looseness | Looseness of teeth
  teeth-sordes | Sordes on teeth
  teeth-sensitivity | Sensitivity of teeth
    teeth-sensitivity-cold | Teeth sensitive to cold
    teeth-sensitivity-touch | Teeth sensitive to touch
=== Throat ===
  throat-pain | Sore throat
    throat-pain-swallowing | Pain on swallowing
    throat-pain-burning | Burning sore throat
    throat-pain-stitching | Stitching sore throat
    throat-pain-right | Sore throat right side
    throat-pain-left | Sore throat left side
    throat-pain-morning | Sore throat in morning
    throat-pain-warm-drinks-amel | Sore throat better warm drinks
    throat-pain-cold-drinks-amel | Sore throat better cold drinks
    throat-pain-empty-swallowing | Pain worse empty swallowing
  throat-inflammation | Inflammation of throat
    throat-inflammation-tonsillitis | Tonsillitis
    throat-inflammation-pharyngitis | Pharyngitis
    throat-inflammation-recurrent | Recurrent tonsillitis
  throat-dryness | Dryness of throat
    throat-dryness-ac | Dry throat from air conditioning
    throat-dryness-mouth-breathing | Dry throat from mouth breathing
  throat-mucus | Mucus in throat
    throat-mucus-tenacious | Tenacious mucus in throat
    throat-mucus-morning | Mucus in throat in morning
  throat-swelling | Swelling of throat
    throat-swelling-tonsils | Swelling of tonsils
    throat-swelling-uvula | Swelling of uvula
  throat-lump-sensation | Lump sensation in throat (globus)
  throat-choking | Choking, constriction
  throat-hawk-disposition | Hawking, disposition to
  throat-redness | Redness of throat
  throat-spasm | Spasm of throat
  throat-ulceration | Ulceration of throat
=== External Throat ===
  ext-throat-goitre | Goitre
    ext-throat-goitre-exophthalmic | Exophthalmic goitre
  ext-throat-swelling-glands | Swelling of cervical glands
    ext-throat-swelling-glands-hard | Hard swelling of cervical glands
  ext-throat-torticollis | Torticollis (wry neck)
  ext-throat-stiffness | Stiffness of neck
  ext-throat-pain | Pain in external throat
  ext-throat-tension | Tension in neck
=== Stomach ===
  stomach-nausea | Nausea
    stomach-nausea-morning | Nausea in morning
    stomach-nausea-pregnancy | Nausea of pregnancy
    stomach-nausea-eating | Nausea after eating
    stomach-nausea-smell-food | Nausea from smell of food
    stomach-nausea-headache | Nausea with headache
    stomach-nausea-motion | Nausea from motion (motion sickness)
    stomach-nausea-constant | Constant nausea
    stomach-nausea-riding | Nausea from riding in vehicle
    stomach-nausea-anxiety | Nausea from anxiety
    stomach-nausea-medication | Nausea from medication
    stomach-nausea-chemotherapy | Nausea from chemotherapy
    stomach-nausea-post-op | Post-operative nausea
  stomach-vomiting | Vomiting
    stomach-vomiting-bile | Vomiting of bile
    stomach-vomiting-food | Vomiting of food
    stomach-vomiting-blood | Vomiting of blood
    stomach-vomiting-pregnancy | Vomiting of pregnancy
    stomach-vomiting-mucus | Vomiting of mucus
    stomach-vomiting-drinking | Vomiting after drinking
    stomach-vomiting-cough | Vomiting from coughing
    stomach-vomiting-night | Vomiting at night
    stomach-vomiting-sour | Vomiting of sour fluid
    stomach-vomiting-undigested | Vomiting of undigested food
  stomach-pain | Stomach pain (gastralgia)
    stomach-pain-burning | Burning stomach pain
    stomach-pain-cramping | Cramping stomach pain
    stomach-pain-pressing | Pressing stomach pain
    stomach-pain-eating | Stomach pain after eating
    stomach-pain-empty | Pain when stomach is empty
    stomach-pain-cutting | Cutting stomach pain
    stomach-pain-stitching | Stitching stomach pain
    stomach-pain-sore | Sore bruised stomach pain
    stomach-pain-ulcer | Stomach pain from ulcer
    stomach-pain-spasmodic | Spasmodic stomach pain
  stomach-heartburn | Heartburn
    stomach-heartburn-eating | Heartburn after eating
    stomach-heartburn-pregnancy | Heartburn during pregnancy
    stomach-heartburn-spicy | Heartburn from spicy food
  stomach-appetite | Appetite disorders
    stomach-appetite-increased | Increased appetite
    stomach-appetite-diminished | Diminished appetite
    stomach-appetite-ravenous | Ravenous appetite
    stomach-appetite-wanting | Loss of appetite
    stomach-appetite-diminished-morning | No appetite in morning
    stomach-appetite-eating-distaste | Distaste for food
  stomach-thirst | Thirst
    stomach-thirst-extreme | Extreme thirst
    stomach-thirst-small-sips | Thirst for small sips
    stomach-thirst-cold-water | Thirst for cold water
    stomach-thirstless | Thirstlessness
    stomach-thirst-large-quantity | Thirst for large quantities
    stomach-thirst-ice-cold | Thirst for ice-cold water
  stomach-eructations | Eructations (belching)
    stomach-eructations-sour | Sour eructations
    stomach-eructations-bitter | Bitter eructations
    stomach-eructations-empty | Empty eructations
    stomach-eructations-food | Eructations tasting of food
  stomach-hiccough | Hiccough
    stomach-hiccough-eating | Hiccough after eating
    stomach-hiccough-persistent | Persistent hiccough
  stomach-indigestion | Indigestion (dyspepsia)
    stomach-indigestion-fatty-food | Indigestion from fatty food
    stomach-indigestion-chronic | Chronic indigestion
  stomach-distension | Distension of stomach
  stomach-emptiness | Emptiness sensation
    stomach-emptiness-eating-not-relieved | Emptiness not relieved by eating
  stomach-fullness | Fullness sensation
  stomach-waterbrash | Waterbrash
  stomach-aversion-food | Aversion to food
    stomach-aversion-meat | Aversion to meat
    stomach-aversion-fat | Aversion to fat
    stomach-aversion-milk | Aversion to milk
  stomach-desires | Desires (cravings)
    stomach-desires-sweets | Craving for sweets
    stomach-desires-salt | Craving for salt
    stomach-desires-sour | Craving for sour things
    stomach-desires-cold-drinks | Craving for cold drinks
    stomach-desires-ice | Craving for ice
    stomach-desires-spicy | Craving for spicy food
  stomach-gastritis | Gastritis
    stomach-gastritis-acute | Acute gastritis
    stomach-gastritis-chronic | Chronic gastritis
